item_uid,exclude,exclusion_datasets,item,item_task (from item),item_uid (from item)
matrix_set1_md_mat14,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",matrix_set1_md_mat14,matrix,matrix_set1_md_mat14
sds_3unique_choice1,checked,pilot_uniandes_co_bogota,sds_3unique_choice1,sds,sds_3unique_choice1
sds_3unique_choice2,checked,pilot_uniandes_co_bogota,sds_3unique_choice2,sds,sds_3unique_choice2
swr_coincidencialmente,checked,"pilot_uniandes_co_bogota,pilot_uniandes_co_rural",swr_coincidencialmente,swr,swr_coincidencialmente
swr_desarroyar,checked,"pilot_uniandes_co_bogota,pilot_uniandes_co_rural",swr_desarroyar,swr,swr_desarroyar
tom_deception_emotion_reasoning_2,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_deception_emotion_reasoning_2,tom,tom_deception_emotion_reasoning_2
tom_deception_false_belief_1,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_deception_false_belief_1,tom,tom_deception_false_belief_1
tom_deception_reality_check_2,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_deception_reality_check_2,tom,tom_deception_reality_check_2
tom_deception_reality_check_2,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_deception_reality_check_2,tom,tom_deception_reality_check_2
tom_deception_reality_check_2,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_deception_reality_check_2,tom,tom_deception_reality_check_2
tom_deception_reality_check_3,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_deception_reality_check_3,tom,tom_deception_reality_check_3
tom_deception_reality_check_3,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_deception_reality_check_3,tom,tom_deception_reality_check_3
tom_deception_reality_check_3,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_deception_reality_check_3,tom,tom_deception_reality_check_3
tom_moral_reasoning_reality_check_1,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_moral_reasoning_reality_check_1,tom,tom_moral_reasoning_reality_check_1
tom_reality_known_false_belief,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reality_known_false_belief,tom,tom_reality_known_false_belief
tom_reference_reference,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reference_reference,tom,tom_reference_reference
tom_reference_reference,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reference_reference,tom,tom_reference_reference
tom_reference_reference,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reference_reference,tom,tom_reference_reference
tom_reference_reference,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reference_reference,tom,tom_reference_reference
tom_reference_reference,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reference_reference,tom,tom_reference_reference
tom_reference_reference,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reference_reference,tom,tom_reference_reference
tom_reference_reference,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reference_reference,tom,tom_reference_reference
tom_reference_reference,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_reference_reference,tom,tom_reference_reference
tom_second_order_false_belief_2,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_second_order_false_belief_2,tom,tom_second_order_false_belief_2
tom_second_order_false_belief_3,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_second_order_false_belief_3,tom,tom_second_order_false_belief_3
tom_second_order_false_belief_4,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_second_order_false_belief_4,tom,tom_second_order_false_belief_4
tom_second_order_false_belief_5,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_second_order_false_belief_5,tom,tom_second_order_false_belief_5
tom_second_order_reality_check,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",tom_second_order_reality_check,tom,tom_second_order_reality_check
trog_conjcoord_say_sunny_however_rain,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",trog_conjcoord_say_sunny_however_rain,trog,trog_conjcoord_say_sunny_however_rain
trog_embedding_book_pencil_on_red,checked,pilot_uniandes_co_rural,trog_embedding_book_pencil_on_red,trog,trog_embedding_book_pencil_on_red
trog_embedding_cat_cow_chase_black,checked,"pilot_mpieva_de_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural,pilot_western_ca_main",trog_embedding_cat_cow_chase_black,trog,trog_embedding_cat_cow_chase_black
trog_preploc_fish_swim_beneath_whale,checked,"pilot_uniandes_co_bogota,pilot_uniandes_co_rural",trog_preploc_fish_swim_beneath_whale,trog,trog_preploc_fish_swim_beneath_whale
vocab_word_claw,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",vocab_word_claw,vocab,vocab_word_claw
vocab_word_degression,checked,"pilot_mpieva_de_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural,pilot_western_ca_main",vocab_word_degression,vocab,vocab_word_degression
vocab_word_divan,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",vocab_word_divan,vocab,vocab_word_divan
vocab_word_mischievous,checked,"pilot_mpieva_de_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural,pilot_western_ca_main",vocab_word_mischievous,vocab,vocab_word_mischievous
vocab_word_squash,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",vocab_word_squash,vocab,vocab_word_squash
vocab_word_stretcher,checked,"pilot_uniandes_co_bogota,pilot_uniandes_co_rural",vocab_word_stretcher,vocab,vocab_word_stretcher
vocab_word_suede,checked,"pilot_uniandes_co_bogota,pilot_uniandes_co_rural",vocab_word_suede,vocab,vocab_word_suede
vocab_word_tourniquet,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",vocab_word_tourniquet,vocab,vocab_word_tourniquet
